PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_CASSPI
2546,Carmelo Anthony,72,35.1,2529.8,21.8,1573,7.7,556,4.2,299,0.9,62,0.5,38,0.434,0.339,0.291,False
2406,Caron Butler,17,10.3,175.66833333333332,3.7,63,1.3,22,0.6,10,0.5,9,0.1,1,0.424,0.167,0.159,False
202718,Chandler Parsons,61,29.5,1799.39,13.7,837,4.7,285,2.8,169,0.8,46,0.3,21,0.492,0.414,0.204,False
101112,Channing Frye,70,17.1,1199.4066666666668,6.1,425,3.3,234,1.0,71,0.4,29,0.4,28,0.438,0.387,0.153,False
101111,Charlie Villanueva,62,10.7,665.0366666666666,5.1,319,2.5,152,0.4,24,0.3,18,0.2,15,0.382,0.273,0.236,False
201978,Chase Budinger,66,14.1,929.7166666666667,4.1,271,2.3,150,1.0,64,0.5,32,0.2,10,0.435,0.279,0.138,False
2365,Chris Andersen,27,14.9,402.5316666666667,3.9,105,3.6,98,0.4,12,0.6,15,0.5,13,0.528,0.286,0.108,False
2547,Chris Bosh,53,33.5,1777.9183333333333,19.1,1010,7.4,390,2.4,128,0.7,36,0.6,34,0.467,0.365,0.247,False
203142,Chris Copeland,24,6.5,155.93,2.1,50,0.4,10,0.5,11,0.1,2,0.0,0,0.333,0.278,0.169,False
203187,Chris Johnson,70,12.2,856.855,2.9,205,1.9,132,0.6,45,0.5,32,0.3,20,0.371,0.273,0.131,False
2549,Chris Kaman,16,7.0,111.76666666666667,2.8,44,1.5,24,0.7,11,0.1,1,0.1,1,0.465,0.25,0.202,False
1626191,Chris McCullough,24,15.1,362.385,4.7,112,2.8,68,0.4,9,1.2,28,0.5,12,0.404,0.382,0.158,False
101108,Chris Paul,74,32.7,2420.2383333333332,19.5,1446,4.2,310,10.0,738,2.1,152,0.2,13,0.462,0.371,0.265,False
1626174,Christian Wood,17,8.5,144.79833333333335,3.6,61,2.2,38,0.2,3,0.3,5,0.4,7,0.415,0.364,0.185,False
101236,Chuck Hayes,2,11.9,23.833333333333332,2.0,4,4.0,8,1.0,2,0.0,0,0.0,0,0.5,0.0,0.113,False
203921,Cleanthony Early,17,9.0,153.82333333333332,1.8,31,1.5,26,0.4,6,0.1,2,0.2,3,0.3,0.267,0.147,False
1626146,Cliff Alexander,8,4.5,35.958333333333336,1.3,10,0.8,6,0.0,0,0.1,1,0.3,2,0.5,0.0,0.134,False
203991,Clint Capela,77,19.1,1470.71,7.0,542,6.4,494,0.6,47,0.8,59,1.2,92,0.582,0.0,0.156,False
