SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_NAME
22008,2544,0020800372,"Dec 17, 2008",CLE @ MIN,W,40,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,22,0,2008-09,LeBron James
22008,2544,0020800337,"Dec 13, 2008",CLE @ ATL,L,46,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,1,0,2008-09,LeBron James
22008,2544,0020800326,"Dec 12, 2008",CLE vs. PHI,W,37,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,13,0,2008-09,LeBron James
22008,2544,0020800318,"Dec 10, 2008",CLE @ PHI,W,39,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,-1,0,2008-09,LeBron James
22008,2544,0020800305,"Dec 09, 2008",CLE vs. TOR,W,30,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,19,0,2008-09,LeBron James
22008,2544,0020800287,"Dec 06, 2008",CLE @ CHA,W,28,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,3,25,27,0,2008-09,LeBron James
22008,2544,0020800279,"Dec 05, 2008",CLE vs. IND,W,38,4,12,0.333,0,4,0.0,3,4,0.75,2,6,8,11,1,3,2,2,11,32,0,2008-09,LeBron James
22008,2544,0020800265,"Dec 03, 2008",CLE vs. NYK,W,28,5,10,0.5,1,4,0.25,10,10,1.0,0,5,5,6,5,1,0,0,21,30,0,2008-09,LeBron James
22008,2544,0020800243,"Nov 29, 2008",CLE @ MIL,W,41,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,3,32,7,0,2008-09,LeBron James
22008,2544,0020800227,"Nov 28, 2008",CLE vs. GSW,W,31,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,2,23,24,0,2008-09,LeBron James
22008,2544,0020800211,"Nov 26, 2008",CLE vs. OKC,W,17,7,12,0.583,0,1,0.0,0,0,0.0,0,3,3,3,1,3,0,0,14,24,0,2008-09,LeBron James
22008,2544,0020800206,"Nov 25, 2008",CLE @ NYK,W,30,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,0,26,17,0,2008-09,LeBron James
22008,2544,0020800186,"Nov 22, 2008",CLE vs. ATL,W,37,8,19,0.421,1,4,0.25,7,7,1.0,1,6,7,8,2,0,2,3,24,16,0,2008-09,LeBron James
22008,2544,0020800160,"Nov 19, 2008",CLE @ DET,L,39,8,21,0.381,0,4,0.0,9,10,0.9,1,5,6,6,4,0,3,1,25,-5,0,2008-09,LeBron James
22008,2544,0020800154,"Nov 18, 2008",CLE @ NJN,W,36,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,3,31,17,0,2008-09,LeBron James
22008,2544,0020800135,"Nov 15, 2008",CLE vs. UTA,W,42,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,2,38,33,0,2008-09,LeBron James
22008,2544,0020800117,"Nov 13, 2008",CLE vs. DEN,W,38,10,20,0.5,0,0,0.0,2,4,0.5,1,7,8,11,3,0,5,4,22,14,0,2008-09,LeBron James
22008,2544,0020800099,"Nov 11, 2008",CLE vs. MIL,W,43,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,2,41,11,0,2008-09,LeBron James
22008,2544,0020800082,"Nov 08, 2008",CLE @ CHI,W,39,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,1,41,12,0,2008-09,LeBron James
22008,2544,0020800070,"Nov 07, 2008",CLE vs. IND,W,39,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,2,27,-3,0,2008-09,LeBron James
22008,2544,0020800055,"Nov 05, 2008",CLE vs. CHI,W,36,13,23,0.565,0,2,0.0,15,16,0.938,2,7,9,6,4,0,5,1,41,22,0,2008-09,LeBron James
22008,2544,0020800046,"Nov 03, 2008",CLE @ DAL,W,34,8,20,0.4,0,2,0.0,13,15,0.867,2,6,8,3,2,1,1,1,29,13,0,2008-09,LeBron James
22008,2544,0020800033,"Nov 01, 2008",CLE @ NOH,L,38,6,15,0.4,0,3,0.0,3,4,0.75,2,5,7,13,3,0,5,3,15,-8,0,2008-09,LeBron James
22008,2544,0020800016,"Oct 30, 2008",CLE vs. CHA,W,30,7,15,0.467,0,2,0.0,8,12,0.667,2,7,9,9,0,1,5,3,22,10,0,2008-09,LeBron James
22008,2544,0020800001,"Oct 28, 2008",CLE @ BOS,L,36,9,21,0.429,0,4,0.0,4,8,0.5,1,6,7,6,2,1,3,4,22,-3,0,2008-09,LeBron James
